Model,MAE,MSE,RMSE,R2_Score,Accuracy_Percentage,Selected_Features_Count
KA + Random Forest,6718.4276498154695,157572399.15129486,12552.784517838854,0.9996883721695282,99.96883721695282,7
KA + MLP Regressor,208827.03884715933,549251202298.04016,741114.8374564095,-0.08624328548699278,-8.624328548699278,7
