Model,MAE,MSE,RMSE,R2_Score,Accuracy_Percentage,Selected_Features_Count
GWOA + ALOA + Random Forest,9593.832192165968,429253542.325483,20718.434842561903,0.9991510737233316,99.91510737233315,9
GWOA + ALOA + MLP Regressor,208827.29474931964,549251026251.6629,741114.7186850784,-0.0862429373235396,-8.62429373235396,9
