Model,MAE,MSE,RMSE,R2_Score,Accuracy_Percentage
Random Forest,32008.05389928088,7814647295.799028,88400.49375314047,0.9845451259496659,98.45451259496659
Deep Learning H5,77119.83352050782,12062305924.148361,109828.52964575443,0.9761446151364339,97.61446151364339
