Model,MAE,MSE,RMSE,R2_Score,Accuracy_Percentage,Selected_Features_Count
AIS + Random Forest,10251.926284825433,534156298.1599847,23111.821610595405,0.9989436096091383,99.89436096091383,5
AIS + Deep Learning H5,222295.778125,104844559740.16522,323797.0965591959,0.7926509790764262,79.26509790764263,5
