Model,MAE,MSE,RMSE,R2_Score,Accuracy_Percentage,Selected_Features_Count
BA + PSO + Random Forest,5937.116593069438,140842863.90815386,11867.72361947117,0.9997214578418966,99.97214578418966,7
BA + PSO + MLP Regressor,208827.0397119057,549251201991.0597,741114.8372493022,-0.08624328487988353,-8.624328487988354,7
