Model,MAE,MSE,RMSE,R2_Score,Accuracy_Percentage,Selected_Features_Count
MA + Random Forest,10251.926284825433,534156298.1599847,23111.821610595405,0.9989436096091383,99.89436096091383,5
MA + MLP Regressor,208826.9714675717,549251251873.603,741114.870903022,-0.08624338353160721,-8.62433835316072,5
