Model,MAE,MSE,RMSE,R2_Score,Accuracy_Percentage,Selected_Features_Count
GA + Random Forest,7356.023698284371,195651684.95752308,13987.554645381124,0.9996130635159466,99.96130635159466,3
GA + MLP Regressor,208826.79992239177,549251435292.20526,741114.9946480676,-0.08624374627496434,-8.624374627496433,3
