Model,MAE,MSE,RMSE,R2_Score,Accuracy_Percentage,Selected_Features_Count
AIS + ALOA + Random Forest,8296.59327436675,302634723.98544586,17396.399742057143,0.9994014852666522,99.94014852666521,3
AIS + ALOA + MLP Regressor,208826.80234445407,549251436854.9076,741114.995702359,-0.08624374936549017,-8.624374936549017,3
