Model,MAE,MSE,RMSE,R2_Score
Random Forest,32008.05389928088,7814647295.799028,88400.49375314047,0.9845451259496659
Deep Learning H5,84517.37084960938,14015613378.829441,118387.5558444782,0.9722815974529739
